# ----------------------------------------
# RW Las Vegas - GA4
# Free form-Dining - Filter Interaction Discovery
# 20260401-20260629
# ----------------------------------------

Page path + query string,Event name,Page title,Link URL,CTA Type,Event count,Total users
,,,,,5010,3701,Grand total
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.sevenrooms.com/reservations/carversteak?default_date=2021-12-30,(not set),398,330
/dining/?toid=tab-bars-lounges,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/alle-lounge-on-66-starlight-reservations-las-vegas?restref=1331188&lang=,(not set),342,307
/dining/?toid=tab-casual-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/juniors-resorts-world-las-vegas,(not set),236,209
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/restref/client/?restref=1342774&lang=en-US&ot_source=Resorts%20World%20Las,(not set),164,145
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/stubborn-seed-las-vegas-reservations-las-vegas?restref=1335541&lang=en-U,(not set),156,143
/dining/?toid=tab-casual-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/restref/client/?restref=1383328&lang=en-US&ot_source=Restaurant%20website&,(not set),140,131
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/kusa-nori-resorts-world-las-vegas-reservations-las-vegas?restref=1217548,(not set),134,124
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/wallys-las-vegas-reservations-las-vegas?restref=1308319&lang=en-US&ot_so,(not set),132,122
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/genting-palace-resorts-world-las-vegas-reservations-las-vegas?restref=12,(not set),122,120
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/viva-by-ray-garcia-resorts-world-las-vegas-reservations-las-vegas?restre,(not set),102,100
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/fuhu-resorts-world-las-vegas-reservations-las-vegas?restref=1188436&lang,(not set),94,64
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.sevenrooms.com/reservations/aqualv/resorts-world-website?utm_source=RWLasVegas.com&utm_m,(not set),86,85
/dining/?toid=tab-bars-lounges,click,Explore Dining Options at Resorts World Las Vegas,https://www.sevenrooms.com/explore/alleloungeon66/reservations/create/search/,(not set),74,33
/dining/?toid=tab-bars-lounges,click,Explore Dining Options at Resorts World Las Vegas,https://www.gatsbysvegas.com/reservations/?utm_source=RWLV&utm_medium=button&utm_id=reservations,(not set),72,37
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/crossroads-kitchen-las-vegas-reservations-las-vegas?restref=1309441&lang,(not set),72,70
/dining/?toid=tab-casual-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/redtail-resorts-world-las-vegas-reservations-las-vegas?restref=1188442&l,(not set),62,64
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,http://rewardsrwlv.joingo.com/,(not set),40,33
/dining/?toid=tab-fine-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.sevenrooms.com/explore/wallysrwlasvegas/reservations/create/search/,(not set),40,17
/dining/?toid=tab-casual-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/r/viva-by-ray-garcia-resorts-world-las-vegas-reservations-las-vegas?restre,(not set),38,37
/dining/?toid=tab-casual-dining,click,Explore Dining Options at Resorts World Las Vegas,https://www.opentable.com/restref/client/?restref=1342774&lang=en-US&ot_source=Resorts%20World%20Las,(not set),38,25
