# ----------------------------------------
# RW Las Vegas - GA4
# Free form-Dining - Traffic Discovery
# 20260331-20260628
# ----------------------------------------

Page path + query string,Page title,Views,Total users,Sessions,Engaged sessions,Average engagement time per session
,,548915,147010,214295,134683,20.37076460020066,Grand total
/dining/,Descubre las opciones gastronómicas en Resorts World Las Vegas.,15,8,14,7,7.714285714285714
/dining/,Découvrez les options de restauration au Resorts World Las Vegas,5,2,7,6,19
/dining/,Découvrez les options de restauration chez Resorts World Las Vegas,1,1,1,1,0
/dining/,Entdecken Sie die Gastronomiemöglichkeiten im Resorts World Las Vegas,3,2,2,0,2.5
/dining/,Entdecken Sie die kulinarischen Angebote im Resorts World Las Vegas,3,6,7,7,23.571428571428573
/dining/,Esplora le opzioni di ristorazione al Resorts World Las Vegas,3,1,4,2,0
/dining/,Explora las opciones gastronómicas en Resorts World Las Vegas,0,0,1,1,56
/dining/,Explora opciones gastronómicas en Resorts World Las Vegas,0,0,1,1,52
/dining/,Explore Dining Options at Resorts World Las Vegas,86752,42454,53472,38216,17.338943746259726
/dining/,Explorez les options de restauration au Resorts World Las Vegas,0,0,1,1,126
/dining/,Fedezze fel az étkezési lehetőségeket a Resorts World Las Vegasban,1,0,1,1,0
/dining/,Khám phá các lựa chọn ăn uống tại Resorts World Las Vegas,2,2,2,1,0
/dining/,Odkryj opcje gastronomiczne w Resorts World Las Vegas,3,1,2,2,18
/dining/,Ontdek de eetgelegenheden bij Resorts World Las Vegas.,6,2,4,3,21.75
/dining/,Prozkoumejte možnosti stravování v Resorts World Las Vegas,3,1,1,1,0
/dining/,Scopri le opzioni di ristorazione al Resorts World Las Vegas,1,1,2,1,9.5
/dining/,Ознакомьтесь с вариантами питания в отеле Resorts World Las Vegas.,1,0,1,0,0
/dining/,גלו אפשרויות הסעדה ב-Resorts World Las Vegas,1,0,1,1,0
/dining/,گزینه‌های غذاخوری در ریزورتس ورلد لاس وگاس را بررسی کنید,1,1,1,1,0
/dining/,リゾーツ・ワールド・ラスベガスのダイニングオプションをぜひご覧ください,0,0,1,1,11
